Category: All categories

Week,soccer: (United States),football: (United States)
2019-03-03,6,10
2019-03-10,6,9
2019-03-17,7,9
2019-03-24,7,9
2019-03-31,7,10
2019-04-07,7,10
2019-04-14,6,10
2019-04-21,6,11
2019-04-28,7,10
2019-05-05,7,9
2019-05-12,7,10
2019-05-19,6,9
2019-05-26,7,9
2019-06-02,9,10
2019-06-09,13,10
2019-06-16,14,10
2019-06-23,19,11
2019-06-30,21,10
2019-07-07,22,12
2019-07-14,6,14
2019-07-21,6,17
2019-07-28,6,20
2019-08-04,6,24
2019-08-11,7,29
2019-08-18,8,44
2019-08-25,8,84
2019-09-01,9,100
2019-09-08,10,95
2019-09-15,9,87
2019-09-22,8,84
2019-09-29,8,77
2019-10-06,8,76
2019-10-13,8,77
2019-10-20,8,75
2019-10-27,8,72
2019-11-03,8,74
2019-11-10,8,77
2019-11-17,7,69
2019-11-24,6,79
2019-12-01,6,59
2019-12-08,6,47
2019-12-15,5,33
2019-12-22,4,45
2019-12-29,4,56
2020-01-05,5,24
2020-01-12,5,33
2020-01-19,5,18
2020-01-26,5,13
2020-02-02,6,17
2020-02-09,5,11
2020-02-16,6,10
2020-02-23,6,9
